County,bachelorsorgreater
13001,11.5235
13003,8.1648
13005,11.7923
13007,11.0485
13009,19.3828
13011,11.9191
13013,17.2519
13015,19.3780
13017,10.2348
13019,11.7155
13021,25.3507
13023,17.1873
13025,7.8406
13027,13.5762
13029,32.4420
13031,27.8761
13033,11.6961
13035,10.5263
13037,9.4367
13039,23.5973
13043,14.4162
13045,19.6072
13047,20.2613
13049,8.5794
13051,33.2467
13053,33.0032
13055,10.0931
13057,35.6806
13059,41.2741
13061,8.8706
13063,19.0805
13065,12.2682
13067,45.5000
13069,14.0831
13071,12.5406
13073,34.3964
13075,14.8039
13077,29.0373
13079,13.1990
13081,13.6058
13083,13.9280
13085,31.0803
13087,14.8799
13089,42.1397
13091,14.6228
13093,9.9237
13095,20.7252
13097,26.6853
13099,16.9706
13101,6.8795
13103,19.2381
13105,11.0550
13107,12.4873
13109,15.5276
13111,19.0127
13113,46.6964
13115,20.4842
13117,50.1624
13119,12.7966
13121,50.1840
13123,18.5769
13125,9.3856
13127,28.9562
13129,13.6845
13131,13.7222
13133,25.6048
13135,35.3157
13137,18.3504
13139,23.5029
13141,8.7047
13143,14.1155
13145,27.3575
13147,13.7553
13149,10.7531
13151,27.9610
13153,25.3707
13155,13.1132
13157,19.6937
13159,10.5034
13161,10.3026
13163,10.6109
13165,8.2563
13167,9.5839
13169,20.7481
13171,18.3976
13173,15.7563
13175,15.4476
13177,25.6775
13179,19.4466
13181,12.0802
13183,15.5637
13185,25.2460
13187,26.6552
13189,15.2875
13191,13.9610
13193,8.5939
13195,16.7193
13197,12.4713
13199,10.6578
13201,11.3797
13205,12.2957
13207,22.6908
13209,15.4878
13211,22.0635
13213,9.6014
13215,25.9669
13217,19.8837
13219,48.2017
13221,15.5494
13223,24.3720
13225,20.3022
13227,24.8653
13229,12.6687
13231,16.4732
13233,12.6899
13235,12.5797
13237,21.4391
13239,8.3233
13241,25.3048
13243,12.0835
13245,21.0433
13247,25.7677
13249,13.6880
13251,14.7244
13253,15.0673
13255,16.2017
13257,19.6208
13259,12.3957
13261,16.7994
13263,12.4817
13265,6.8332
13267,12.2704
13269,11.3569
13271,8.1020
13273,10.7926
13275,22.1897
13277,16.8159
13279,15.8536
13281,25.5994
13283,15.5122
13285,18.5487
13287,13.5014
13289,9.2392
13291,21.9934
13293,12.9175
13295,15.4894
13297,18.9688
13299,13.4592
13301,13.7304
13303,13.0784
13305,12.7216
13307,11.2528
13309,8.0722
13311,20.2282
13313,14.5655
13315,10.5164
13317,14.3144
13319,8.9717
13321,11.0278
