1,County,avgspeed
1,13001,54.6593
1,13003,826.9412
1,13005,50.8021
1,13007,1000.0000
1,13009,301.2474
1,13011,294.0299
1,13013,302.2255
1,13015,351.6870
1,13017,800.0631
1,13019,771.2024
1,13021,297.6811
1,13023,1000.0000
1,13025,217.9756
1,13027,374.6667
1,13029,149.5204
1,13031,99.9797
1,13033,150.0000
1,13035,398.7346
1,13037,140.0000
1,13039,233.8082
1,13043,154.3144
1,13045,508.0446
1,13047,639.6697
1,13049,454.0000
1,13051,149.1937
1,13053,302.2173
1,13055,402.3077
1,13057,688.2069
1,13059,399.2496
1,13061,161.0169
1,13063,976.1628
1,13065,150.0000
1,13067,827.7408
1,13069,202.3130
1,13071,538.9937
1,13073,305.5470
1,13075,780.0562
1,13077,374.8517
1,13079,40.8163
1,13081,703.9548
1,13083,327.7581
1,13085,344.7500
1,13087,765.4406
1,13089,551.5464
1,13091,774.3031
1,13093,427.1978
1,13095,725.3896
1,13097,978.9319
1,13099,100.0000
1,13103,150.0000
1,13105,122.4882
1,13107,99.7836
1,13109,150.0000
1,13111,68.4857
1,13113,931.6136
1,13115,943.2068
1,13117,322.2330
1,13119,65.9947
1,13121,626.2120
1,13123,65.6634
1,13125,987.0000
1,13127,986.4841
1,13129,302.1687
1,13131,567.1291
1,13133,89.3484
1,13135,662.3825
1,13137,987.0000
1,13139,384.7762
1,13141,212.5000
1,13143,406.8606
1,13145,409.7454
1,13147,25.1115
1,13149,316.9014
1,13151,454.3596
1,13153,157.7776
1,13155,804.6263
1,13157,305.9919
1,13159,634.8000
1,13161,736.1100
1,13163,406.0000
1,13165,149.3057
1,13167,150.0000
1,13169,298.2182
1,13171,407.6069
1,13173,833.5185
1,13175,120.1517
1,13177,684.1019
1,13179,150.4061
1,13181,150.0000
1,13183,147.8533
1,13185,742.3585
1,13187,402.6667
1,13189,149.3960
1,13191,124.0327
1,13193,73.9583
1,13195,398.4615
1,13197,58.5294
1,13199,321.1118
1,13201,625.0000
1,13205,483.3918
1,13207,95.4041
1,13209,32.9538
1,13211,297.9787
1,13213,399.3781
1,13215,571.8356
1,13217,517.6484
1,13219,392.3053
1,13221,133.2114
1,13223,981.7012
1,13225,131.7077
1,13227,72.4847
1,13229,50.8209
1,13231,494.6364
1,13233,408.1819
1,13235,30.0000
1,13237,265.1220
1,13239,300.0000
1,13241,107.1027
1,13243,795.1140
1,13245,311.6484
1,13247,959.3988
1,13249,803.7815
1,13251,150.0000
1,13253,780.6723
1,13255,983.4238
1,13257,95.3105
1,13259,123.3652
1,13261,728.4481
1,13263,298.3333
1,13267,33.5926
1,13269,30.0000
1,13271,825.6378
1,13273,794.0678
1,13275,482.6676
1,13277,512.0936
1,13279,69.9245
1,13281,200.0000
1,13283,150.0000
1,13285,324.7839
1,13287,737.9139
1,13289,91.1739
1,13291,178.3333
1,13293,297.5780
1,13295,955.0147
1,13297,985.6057
1,13299,199.6174
1,13301,150.0000
1,13303,45.6866
1,13305,150.9544
1,13309,550.0000
1,13311,187.5000
1,13313,399.7498
1,13317,150.0000
1,13319,261.4286
1,13321,769.8236
