1,County,avgspeed
1,13001,180.1379
1,13003,1000.0000
1,13005,50.0000
1,13007,1000.0000
1,13009,163.3737
1,13011,662.4545
1,13013,761.6750
1,13015,994.2123
1,13017,1000.0000
1,13019,1000.0000
1,13021,797.4344
1,13023,55.2525
1,13025,999.9845
1,13027,1000.0000
1,13029,132.9476
1,13031,974.0808
1,13033,1000.0000
1,13035,1000.0000
1,13037,1000.0000
1,13039,966.9450
1,13043,999.9860
1,13045,988.3955
1,13047,964.0900
1,13049,999.3953
1,13051,664.1456
1,13053,800.0000
1,13055,717.3000
1,13057,934.9328
1,13059,999.9653
1,13061,1000.0000
1,13063,989.6756
1,13067,989.8350
1,13069,92.5373
1,13071,997.7260
1,13073,662.2599
1,13075,994.6213
1,13077,994.6764
1,13081,1000.0000
1,13083,999.5073
1,13085,387.1538
1,13087,1000.0000
1,13089,994.7903
1,13091,914.3439
1,13093,696.2617
1,13095,1000.0000
1,13097,972.9149
1,13103,989.2799
1,13107,1000.0000
1,13109,1000.0000
1,13111,143.8041
1,13113,988.2268
1,13115,987.8313
1,13117,993.9911
1,13119,623.0000
1,13121,992.6237
1,13123,357.4000
1,13125,997.1111
1,13127,987.5092
1,13129,998.6071
1,13131,1000.0000
1,13133,533.3333
1,13135,992.5190
1,13137,988.3122
1,13139,999.9539
1,13141,100.0000
1,13143,996.2083
1,13145,549.3540
1,13147,50.6944
1,13151,994.7722
1,13153,917.2697
1,13155,1000.0000
1,13157,544.0488
1,13159,993.5000
1,13161,1000.0000
1,13163,999.8903
1,13165,1000.0000
1,13167,1000.0000
1,13169,897.2222
1,13171,987.0000
1,13173,967.7350
1,13175,103.8031
1,13177,1000.0000
1,13179,100.5362
1,13181,100.0000
1,13183,544.3947
1,13185,956.2066
1,13187,490.1212
1,13189,600.0000
1,13191,100.0000
1,13193,1000.0000
1,13195,873.7333
1,13197,1000.0000
1,13199,987.0000
1,13201,1000.0000
1,13205,1000.0000
1,13207,999.2571
1,13209,1000.0000
1,13211,996.7500
1,13213,578.8462
1,13215,766.1304
1,13217,992.1421
1,13219,999.7500
1,13221,261.3636
1,13223,989.6319
1,13225,438.2000
1,13227,241.3636
1,13231,991.8750
1,13233,989.4375
1,13235,50.0000
1,13237,212.6437
1,13241,951.8974
1,13243,1000.0000
1,13245,610.3213
1,13247,988.3278
1,13249,1000.0000
1,13251,1000.0000
1,13253,1000.0000
1,13255,988.1232
1,13257,870.5000
1,13259,995.6667
1,13261,1000.0000
1,13263,100.0000
1,13265,100.0000
1,13267,953.4582
1,13271,996.9436
1,13273,996.4416
1,13275,1000.0000
1,13277,995.9087
1,13279,1000.0000
1,13281,56.6523
1,13283,1000.0000
1,13285,999.5125
1,13287,1000.0000
1,13289,16.0000
1,13291,80.8380
1,13295,943.0334
1,13297,970.8772
1,13299,335.0000
1,13303,1000.0000
1,13305,999.2353
1,13309,409.6000
1,13311,983.5125
1,13313,999.7131
1,13317,100.0000
1,13319,16.0000
1,13321,1000.0000
