1,County,avgspeed
1,06001,987.0098
1,06003,987.0000
1,06005,590.4076
1,06007,987.0000
1,06009,987.0000
1,06011,987.0000
1,06013,989.6371
1,06015,119.9445
1,06017,629.9534
1,06019,986.9683
1,06021,987.0000
1,06023,242.7446
1,06025,281.0965
1,06027,286.2333
1,06029,262.5747
1,06031,987.0000
1,06033,835.7551
1,06035,171.6667
1,06037,348.6622
1,06039,789.6551
1,06041,949.3472
1,06045,833.8800
1,06047,881.9706
1,06049,987.0000
1,06051,999.7303
1,06053,928.6173
1,06055,987.0085
1,06057,875.5475
1,06059,379.5010
1,06061,865.9747
1,06063,65.3019
1,06065,373.3711
1,06067,986.9615
1,06069,302.6941
1,06071,359.3849
1,06073,326.7194
1,06075,989.7967
1,06077,937.2858
1,06079,300.7247
1,06081,956.9518
1,06083,681.4210
1,06085,917.3424
1,06087,792.0171
1,06089,297.2877
1,06091,230.4348
1,06093,29.1000
1,06095,958.8593
1,06097,979.3223
1,06099,688.7448
1,06101,987.0000
1,06103,482.8306
1,06105,54.9158
1,06107,712.8711
1,06109,987.0000
1,06111,400.0931
1,06113,996.1377
1,06115,987.0000
