1,County,avgspeed
1,13001,50.0000
1,13003,104.6087
1,13005,50.8021
1,13009,299.3090
1,13011,294.0299
1,13013,300.1033
1,13015,299.9060
1,13017,100.2841
1,13019,98.4286
1,13021,297.2123
1,13025,198.7500
1,13027,147.2727
1,13029,149.5204
1,13031,99.9797
1,13033,150.0000
1,13035,398.7346
1,13037,100.0000
1,13039,25.7270
1,13043,150.0000
1,13045,398.9243
1,13047,398.3429
1,13049,187.5000
1,13051,148.0756
1,13053,300.6667
1,13055,399.1343
1,13057,264.2391
1,13059,398.9114
1,13061,100.0000
1,13063,363.5682
1,13065,150.0000
1,13067,398.1850
1,13069,199.9506
1,13071,68.5882
1,13073,305.1891
1,13075,100.0000
1,13077,321.7511
1,13079,40.8163
1,13081,98.2754
1,13083,314.9477
1,13085,286.3636
1,13087,99.5945
1,13089,300.1867
1,13091,100.3472
1,13093,60.8108
1,13095,100.1781
1,13097,354.1333
1,13099,100.0000
1,13103,150.0000
1,13105,122.4882
1,13107,99.7836
1,13109,150.0000
1,13111,64.9597
1,13113,126.9722
1,13115,376.2789
1,13117,300.0000
1,13119,65.9947
1,13121,315.3731
1,13123,64.1774
1,13127,12.0000
1,13129,300.0615
1,13131,65.7275
1,13133,89.3484
1,13135,380.8006
1,13139,384.4510
1,13141,212.5000
1,13143,399.3123
1,13145,311.8731
1,13147,25.1115
1,13149,316.9014
1,13151,398.9216
1,13153,157.2188
1,13155,100.0000
1,13157,300.4402
1,13159,400.0000
1,13161,100.2083
1,13163,115.5000
1,13165,149.3057
1,13167,150.0000
1,13169,298.2182
1,13171,400.0000
1,13173,101.0000
1,13175,120.1517
1,13177,98.2545
1,13179,149.4533
1,13181,150.0000
1,13183,144.1071
1,13185,99.9565
1,13187,235.7143
1,13189,149.3960
1,13191,124.0327
1,13193,54.2553
1,13195,398.4615
1,13197,30.0000
1,13199,319.6767
1,13201,100.0000
1,13205,66.1734
1,13207,88.0658
1,13209,32.9538
1,13211,295.8716
1,13213,399.3781
1,13215,418.0963
1,13217,399.4736
1,13219,391.3430
1,13221,133.2114
1,13223,206.7500
1,13225,131.7077
1,13227,72.4847
1,13229,50.8209
1,13231,310.0000
1,13233,398.7820
1,13235,30.0000
1,13237,265.1220
1,13239,300.0000
1,13241,101.0345
1,13243,101.4286
1,13245,311.3703
1,13247,379.1739
1,13249,101.9231
1,13251,150.0000
1,13253,100.0000
1,13255,400.0000
1,13257,89.2941
1,13259,100.0000
1,13261,99.7095
1,13263,298.3333
1,13267,33.5926
1,13269,30.0000
1,13271,100.6579
1,13273,100.0000
1,13275,65.2266
1,13277,52.4197
1,13279,69.9245
1,13281,200.0000
1,13283,150.0000
1,13285,323.4341
1,13287,100.5682
1,13289,91.1739
1,13291,178.3333
1,13293,297.5780
1,13295,364.4286
1,13297,400.0000
1,13299,199.6174
1,13301,150.0000
1,13303,45.6866
1,13305,150.0000
1,13309,100.0000
1,13311,187.5000
1,13313,399.7498
1,13317,150.0000
1,13319,261.4286
1,13321,99.4854
