1,County,avgspeed
1,06001,1000.0000
1,06005,20.0000
1,06013,1000.0000
1,06015,119.9445
1,06017,102.0284
1,06023,149.6136
1,06025,280.0872
1,06027,160.2128
1,06029,262.0968
1,06033,100.0000
1,06035,171.6667
1,06037,348.3536
1,06039,24.0000
1,06041,83.3333
1,06045,30.0000
1,06047,300.0000
1,06053,302.6059
1,06055,1000.0000
1,06057,154.6448
1,06059,379.0022
1,06061,786.3014
1,06063,10.0000
1,06065,371.1708
1,06067,968.3226
1,06069,300.0000
1,06071,357.6901
1,06073,326.2726
1,06075,1000.0000
1,06077,300.0000
1,06079,299.9431
1,06081,887.0601
1,06083,299.6569
1,06085,301.6576
1,06087,300.0000
1,06089,296.9052
1,06091,230.4348
1,06093,29.1000
1,06095,687.2340
1,06097,30.0000
1,06099,300.0000
1,06103,300.0000
1,06105,45.0000
1,06107,300.0000
1,06111,399.5003
1,06113,1000.0000
