County,bachelorsorgreater
06001,44.7083
06003,25.6473
06005,22.0979
06007,26.6225
06009,19.2818
06011,15.7229
06013,40.7368
06015,14.4357
06017,33.3333
06019,20.1174
06021,12.9860
06023,29.4268
06025,14.2810
06027,25.2759
06029,15.7863
06031,13.0494
06033,15.3408
06035,12.4030
06037,31.2313
06039,13.8362
06041,57.5101
06043,24.4215
06045,24.7839
06047,13.7588
06049,16.5791
06051,31.5415
06053,23.9220
06055,34.5727
06057,35.8263
06059,39.0738
06061,37.4886
06063,22.5898
06065,21.5213
06067,29.8723
06069,19.1932
06071,19.7724
06073,37.3645
06075,55.7869
06077,18.0774
06079,34.0021
06081,48.5358
06083,33.2691
06085,50.0221
06087,39.7502
06089,21.3561
06091,21.4008
06093,22.6905
06095,25.5653
06097,33.8477
06099,16.7225
06101,17.5123
06103,14.3692
06105,19.4692
06107,13.8385
06109,20.5692
06111,32.5860
06113,40.5733
06115,16.3754
