1,County,avgspeed
1,06001,990.1852
1,06003,105.1176
1,06005,852.6507
1,06007,987.0000
1,06009,942.7695
1,06011,987.0000
1,06013,988.1995
1,06017,986.4711
1,06019,888.4770
1,06021,987.0000
1,06023,999.9631
1,06025,839.1667
1,06027,999.8434
1,06029,998.8930
1,06031,987.0855
1,06033,1000.0000
1,06035,217.1429
1,06037,255.0922
1,06039,966.0268
1,06041,986.6771
1,06043,20.0000
1,06045,987.0000
1,06047,987.0345
1,06049,987.0000
1,06051,999.8267
1,06053,987.3500
1,06055,988.1629
1,06057,991.0537
1,06059,432.9956
1,06061,721.4543
1,06063,186.0513
1,06065,188.4198
1,06067,832.3818
1,06069,997.1111
1,06071,352.8938
1,06073,995.4349
1,06075,990.6656
1,06077,987.5965
1,06079,256.5294
1,06081,989.3915
1,06083,912.7221
1,06085,988.9824
1,06087,988.8089
1,06089,987.0000
1,06091,55.8333
1,06093,32.8070
1,06095,987.4242
1,06097,979.6371
1,06099,988.1168
1,06101,987.2531
1,06103,987.0000
1,06105,987.0000
1,06107,987.8409
1,06109,987.0000
1,06111,107.9649
1,06113,988.5091
1,06115,987.2802
