County,medianincome
06001,90218.2225
06003,63375.0000
06005,58949.6429
06007,47921.4410
06009,46557.4000
06011,56140.9500
06013,97389.8807
06015,41471.1500
06017,70446.4640
06019,49660.4465
06021,44201.9130
06023,43519.1019
06025,42967.3854
06027,52805.7500
06029,49887.9035
06031,47647.8148
06033,37509.1458
06035,44062.5200
06037,68310.8367
06039,50115.9625
06041,113873.3486
06043,54085.1765
06045,46007.7722
06047,45801.5764
06049,40223.6667
06051,49168.9412
06053,67776.2103
06055,83727.4811
06057,62749.7733
06059,88816.8086
06061,79839.0469
06063,51619.8636
06065,64036.9796
06067,65179.5866
06069,76719.9000
06071,58891.3123
06073,75664.0942
06075,101247.8382
06077,55593.1544
06079,66850.8834
06081,119111.3477
06083,76026.9201
06085,115579.3944
06087,72295.3520
06089,49636.0687
06091,47572.4000
06093,42033.9189
06095,72929.4421
06097,74765.2248
06099,52992.4416
06101,57758.1290
06103,43213.3721
06105,35059.2308
06107,44251.0778
06109,50208.5625
06111,85823.6000
06113,67152.5410
06115,50884.8980
