1,County,avgspeed
1,36001,121.4349
1,36003,120.0000
1,36005,404.2835
1,36007,120.0000
1,36009,120.0000
1,36011,266.7754
1,36013,120.1379
1,36015,119.2617
1,36017,160.6282
1,36019,323.1736
1,36021,122.1284
1,36023,355.1608
1,36025,146.4456
1,36027,567.4174
1,36029,120.5122
1,36031,234.7320
1,36033,400.0000
1,36035,123.5347
1,36037,120.0000
1,36039,344.2766
1,36041,356.2500
1,36043,400.2709
1,36045,398.1761
1,36047,567.0199
1,36049,399.7512
1,36051,120.0000
1,36053,400.2493
1,36055,120.3384
1,36057,120.0000
1,36059,404.0208
1,36061,781.9407
1,36063,120.0067
1,36065,399.9632
1,36067,400.0000
1,36069,117.1464
1,36071,744.1358
1,36073,120.0000
1,36075,400.0000
1,36077,148.4784
1,36079,728.1120
1,36081,841.4610
1,36083,119.9375
1,36085,939.7470
1,36087,400.4595
1,36089,400.0000
1,36091,120.0326
1,36093,119.9772
1,36095,118.4889
1,36097,111.0982
1,36099,140.9326
1,36101,119.9349
1,36103,400.1117
1,36105,940.0212
1,36107,139.1261
1,36109,383.6196
1,36111,881.5020
1,36113,120.0000
1,36115,120.4727
1,36117,120.0000
1,36119,427.0671
1,36121,120.0000
1,36123,118.4438
