1,County,avgspeed
1,36001,121.1571
1,36003,120.0000
1,36005,399.9344
1,36007,120.0000
1,36009,120.0000
1,36011,266.7754
1,36013,119.9559
1,36015,119.2617
1,36017,160.6282
1,36019,323.1736
1,36021,118.9020
1,36023,355.1608
1,36025,96.4750
1,36027,399.5053
1,36029,119.9843
1,36031,234.7320
1,36033,400.0000
1,36035,122.5513
1,36037,120.0000
1,36039,149.0480
1,36041,356.2500
1,36043,400.0000
1,36045,398.1761
1,36047,399.3783
1,36049,399.7512
1,36051,120.0000
1,36053,400.0000
1,36055,120.0164
1,36057,120.0000
1,36059,399.9495
1,36061,220.7908
1,36063,120.0067
1,36065,399.9632
1,36067,400.0000
1,36069,117.1464
1,36071,399.7182
1,36073,120.0000
1,36075,400.0000
1,36077,148.4784
1,36079,397.0975
1,36081,288.7888
1,36083,119.9375
1,36085,225.0000
1,36087,399.9572
1,36089,400.0000
1,36091,120.0326
1,36093,119.9772
1,36095,118.4889
1,36097,111.0982
1,36099,140.9326
1,36101,119.9349
1,36103,399.9233
1,36107,137.6979
1,36109,383.3681
1,36111,399.6825
1,36113,120.0000
1,36115,120.0000
1,36117,120.0000
1,36119,399.9553
1,36121,120.0000
1,36123,118.4438
