County,bachelorsorgreater
36001,40.5486
36003,19.7916
36005,19.3610
36007,28.0489
36009,18.9245
36011,22.4475
36013,21.2163
36015,25.1314
36017,18.6482
36019,21.8667
36021,30.1323
36023,26.0174
36025,21.6305
36027,34.5999
36029,32.8769
36031,26.6888
36033,18.6576
36035,17.6710
36037,21.4403
36039,22.0278
36041,20.0333
36043,20.7099
36045,21.4401
36047,35.1685
36049,16.2610
36051,23.6744
36053,27.0484
36055,37.0504
36057,17.0486
36059,44.3609
36061,60.6883
36063,23.5013
36065,23.8936
36067,34.9960
36069,33.6773
36071,29.5225
36073,15.8766
36075,18.3327
36077,29.5845
36079,38.5460
36081,30.8185
36083,29.8190
36085,32.1105
36087,40.4374
36089,23.1149
36091,40.3874
36093,30.8050
36095,21.6079
36097,22.0763
36099,20.4906
36101,22.5668
36103,34.9657
36105,23.3516
36107,24.7067
36109,52.6110
36111,31.3831
36113,29.2914
36115,19.7833
36117,21.7330
36119,47.7282
36121,15.4161
36123,23.9270
