1,County,avgspeed
1,36001,887.7911
1,36003,940.0000
1,36005,920.5760
1,36007,940.0000
1,36009,940.0000
1,36011,932.2936
1,36013,936.5934
1,36015,936.2974
1,36017,940.0000
1,36019,898.6997
1,36021,904.7108
1,36023,940.0000
1,36025,763.1508
1,36027,869.7729
1,36029,925.2774
1,36031,861.9984
1,36033,850.0983
1,36035,940.0407
1,36037,947.4689
1,36039,906.4626
1,36041,904.6209
1,36043,940.0114
1,36045,922.3986
1,36047,926.9600
1,36049,939.4561
1,36051,940.0174
1,36053,940.0137
1,36055,944.5825
1,36057,940.0000
1,36059,891.1332
1,36061,929.4588
1,36063,938.5172
1,36065,927.0543
1,36067,818.8498
1,36069,940.4973
1,36071,920.6417
1,36073,940.0000
1,36075,940.0112
1,36077,940.0000
1,36079,818.1994
1,36081,937.8540
1,36083,939.7316
1,36085,940.0173
1,36087,891.3686
1,36089,801.2070
1,36091,936.7249
1,36093,935.0559
1,36095,883.6870
1,36097,849.4305
1,36099,937.8938
1,36101,937.9360
1,36103,897.2885
1,36105,939.1356
1,36107,892.4977
1,36109,914.8667
1,36111,931.7778
1,36113,941.4970
1,36115,941.4290
1,36117,940.0000
1,36119,823.1979
1,36121,940.2112
1,36123,943.3884
