GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH1PE001,NAME_M,AH1PM001,fips
G36000100001001,2013-2017,,,"New York",36,"Albany County",001,,,000100,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Albany County, New York",45156,"Block Group 1, Census Tract 1, Albany County, New York",12570,360010001001
G36000100001002,2013-2017,,,"New York",36,"Albany County",001,,,000100,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Albany County, New York",21330,"Block Group 2, Census Tract 1, Albany County, New York",8733,360010001002
G36000100002001,2013-2017,,,"New York",36,"Albany County",001,,,000200,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Albany County, New York",15246,"Block Group 1, Census Tract 2, Albany County, New York",5585,360010002001
G36000100002002,2013-2017,,,"New York",36,"Albany County",001,,,000200,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Albany County, New York",44141,"Block Group 2, Census Tract 2, Albany County, New York",8763,360010002002
G36000100002003,2013-2017,,,"New York",36,"Albany County",001,,,000200,3,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2, Albany County, New York",24375,"Block Group 3, Census Tract 2, Albany County, New York",8556,360010002003
G36000100002004,2013-2017,,,"New York",36,"Albany County",001,,,000200,4,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2, Albany County, New York",51654,"Block Group 4, Census Tract 2, Albany County, New York",18069,360010002004
G36000100003001,2013-2017,,,"New York",36,"Albany County",001,,,000300,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Albany County, New York",38103,"Block Group 1, Census Tract 3, Albany County, New York",8929,360010003001
G36000100003002,2013-2017,,,"New York",36,"Albany County",001,,,000300,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Albany County, New York",21538,"Block Group 2, Census Tract 3, Albany County, New York",8080,360010003002
G36000100003003,2013-2017,,,"New York",36,"Albany County",001,,,000300,3,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3, Albany County, New York",61332,"Block Group 3, Census Tract 3, Albany County, New York",11394,360010003003
G36000100003004,2013-2017,,,"New York",36,"Albany County",001,,,000300,4,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 3, Albany County, New York",18772,"Block Group 4, Census Tract 3, Albany County, New York",3738,360010003004
