County,medianincome
36001,64993.7404
36003,45560.0682
36005,37643.2201
36007,48136.7157
36009,46176.7250
36011,54512.9868
36013,45433.2377
36015,51721.7126
36017,48724.0784
36019,50455.8961
36021,62061.6721
36023,55416.5532
36025,46822.4545
36027,77229.1694
36029,53792.6765
36031,52987.0526
36033,49847.5476
36035,47611.6964
36037,54642.8772
36039,53574.8140
36041,53691.1250
36043,48290.6935
36045,49076.3333
36047,57615.6187
36049,53409.8182
36051,51274.2444
36053,58255.3830
36055,56039.5041
36057,49154.3333
36059,112168.1986
36061,80499.7564
36063,51430.7614
36065,50035.8717
36067,59417.8158
36069,61560.5976
36071,74852.1087
36073,45575.0645
36075,52305.3780
36077,53810.6964
36079,104412.5797
36081,63662.0905
36083,60362.1840
36085,69186.9349
36087,94943.1527
36089,45787.8224
36091,75793.7482
36093,63565.7464
36095,51127.5758
36097,47872.0526
36099,53050.8378
36101,50031.0543
36103,95850.1111
36105,51453.5128
36107,56262.6000
36109,54173.3281
36111,62541.4605
36113,60713.2340
36115,54276.8913
36117,51851.0645
36119,104769.3707
36121,55861.0227
36123,53719.5714
